,STATE,LGA,CANDIDATE,PARTY,VOTES
0,Abia,Aba North,Tinubu Bola Ahmed,APC,190
1,Abia,Aba North,Abubakar Atiku,PDP,428
2,Abia,Aba North,Obi Peter Gregory,LP,35898
3,Abia,Aba North,Musa Mohammed Rabiu Kwankwaso,NNPP,94
4,Abia,Aba North,Kachikwu Dumebi,ADC,18
5,Abia,Aba North,Umeadi Peter Nnanna Chukwudi,APGA,368
6,Abia,Aba North,Sani Yabagi Yusuf,ADP,9
7,Abia,Aba North,Imumolen Irene Christopher,A,14
8,Abia,Aba North,Almustapha Hamza,AA,5
9,Abia,Aba North,Sowore Omoyele Stephen,AAC,5
10,Abia,Aba North,Ojei Princess Chichi,APM,23
11,Abia,Aba North,Nnadi Charles Osita,APP,44
12,Abia,Aba North,Adenuga Sunday Oluwafemi,BP,27
13,Abia,Aba North,Osakwe Felix Johnson,NRM,8
14,Abia,Aba North,Abiola Latifu Kolawole,PRP,5
15,Abia,Aba North,Adebayo Adewole Ebenezer,SDP,6
16,Abia,Aba North,Ado-Ibrahim Abdulmalik,YPP,47
17,Abia,Aba North,Nwanyanwu Daniel Daberechukwu,ZLP,60
18,Abia,Aba South,Tinubu Bola Ahmed,APC,
19,Abia,Aba South,Abubakar Atiku,PDP,
20,Abia,Aba South,Obi Peter Gregory,LP,
21,Abia,Aba South,Musa Mohammed Rabiu Kwankwaso,NNPP,
22,Abia,Aba South,Kachikwu Dumebi,ADC,
23,Abia,Aba South,Umeadi Peter Nnanna Chukwudi,APGA,
24,Abia,Aba South,Sani Yabagi Yusuf,ADP,
25,Abia,Aba South,Imumolen Irene Christopher,A,
26,Abia,Aba South,Almustapha Hamza,AA,
27,Abia,Aba South,Sowore Omoyele Stephen,AAC,
28,Abia,Aba South,Ojei Princess Chichi,APM,
29,Abia,Aba South,Nnadi Charles Osita,APP,
30,Abia,Aba South,Adenuga Sunday Oluwafemi,BP,
31,Abia,Aba South,Osakwe Felix Johnson,NRM,
32,Abia,Aba South,Abiola Latifu Kolawole,PRP,
33,Abia,Aba South,Adebayo Adewole Ebenezer,SDP,
34,Abia,Aba South,Ado-Ibrahim Abdulmalik,YPP,
35,Abia,Aba South,Nwanyanwu Daniel Daberechukwu,ZLP,
36,Abia,Arochukwu,Tinubu Bola Ahmed,APC,
37,Abia,Arochukwu,Abubakar Atiku,PDP,
38,Abia,Arochukwu,Obi Peter Gregory,LP,
39,Abia,Arochukwu,Musa Mohammed Rabiu Kwankwaso,NNPP,
40,Abia,Arochukwu,Kachikwu Dumebi,ADC,
41,Abia,Arochukwu,Umeadi Peter Nnanna Chukwudi,APGA,
42,Abia,Arochukwu,Sani Yabagi Yusuf,ADP,
43,Abia,Arochukwu,Imumolen Irene Christopher,A,
44,Abia,Arochukwu,Almustapha Hamza,AA,
45,Abia,Arochukwu,Sowore Omoyele Stephen,AAC,
46,Abia,Arochukwu,Ojei Princess Chichi,APM,
